Console,Title,Loose Price,CIB Price
NES,Cowboy Kid,$450.00,"$1,120.25"
NES,Rambo,$9.02,$68.43
NES,Star Tropics II: Zoda's Revenge,$14.84,$49.99
NES,Peek-a-Boo Poker,"$1,142.32","$2,480.26"
NES,Control Deck Test Cartridge,"$1,055.25",
NES,Mike Tyson's Punch-Out [White Bullets],$49.42,$333.75
NES,Hogan's Alley,$10.11,$56.29
NES,Who Framed Roger Rabbit,$15.47,$65.98
NES,Dick Tracy,$9.76,$47.99
NES,The Uncanny X-Men,$16.98,$87.00
NES,Duck Hunt,$10.68,$106.24
NES,Play Action Football,$6.76,$13.99
NES,The Goonies II,$10.29,$61.00
NES,Legend of Zelda [Classic Series],$34.99,$103.99
NES,Monster Party,$22.64,$155.00
NES,Back to the Future,$16.48,$87.81
NES,Gargoyle's Quest II The Demon Darkness,$144.23,$280.75
NES,Tetris 2,$7.97,$20.91
NES,Double Dribble,$7.80,$26.69
NES,R.C. Pro-AM II,$98.20,$300.00
NES,Felix the Cat,$94.79,$245.67
NES,Golgo 13 Top Secret Episode,$5.00,$31.13
NES,Adventures of Dino Riki,$14.29,$50.00
NES,Shatterhand,$88.00,$204.48
NES,Q*bert,$11.99,$33.59
NES,Captain Skyhawk,$5.53,$23.67
NES,Adventure Island 3,$78.81,$224.49
NES,Strider,$12.99,$60.00
NES,Little Mermaid,$14.99,$45.00
NES,Swamp Thing,$169.99,$425.00
NES,Arkista's Ring,$71.06,$201.13
NES,The Punisher,$29.99,$160.00
NES,Major League Baseball,$4.21,$17.49
NES,Zelda II The Adventure of Link [Gray Cart],$22.67,$59.49
NES,Rockin' Kats,$182.50,$489.00
NES,The Karate Kid,$12.01,$83.66
NES,Zombie Nation,$459.93,"$1,028.25"
NES,Zapper Light Gun,$16.84,$85.23
NES,Vice Project Doom,$70.08,$244.84
NES,Gauntlet II,$11.18,$40.64
NES,Jaws,$13.49,$73.09
NES,Operation Wolf,$7.50,$22.50
NES,Street Fighter 2010 the Final Fight,$13.85,$59.99
NES,Whomp 'Em,$60.00,$187.41
NES,Bionic Commando,$14.95,$81.13
NES,Yoshi's Cookie,$11.81,$34.60
NES,Silent Service,$5.74,$17.99
NES,Princess Tomato in the Salad Kingdom,$182.60,$432.00
NES,Clash at Demonhead,$19.99,$68.48
NES,Adventure Island II,$29.78,$69.00
NES,Spy Hunter,$9.95,$41.48
NES,Marble Madness,$10.47,$30.17
NES,Platoon,$6.63,$29.99
