Console,Title,Loose Price,CIB Price
GameBoy,Ren & Stimpy Space Cadet Adventures,$7.67,$94.98
GameBoy,Original Gameboy Green,$55.17,$209.00
GameBoy,Toy Story,$5.98,$47.38
GameBoy,Fastest Lap,$21.85,$112.57
GameBoy,Double Dragon,$14.95,$34.99
GameBoy,Sword of Hope II,$141.24,$594.97
GameBoy,The Punisher,$26.99,$300.00
GameBoy,Yoshi's Cookie,$10.73,$25.47
GameBoy,Yellow Game Boy Pocket,$73.92,$274.78
GameBoy,Kirby's Star Stacker,$26.97,$209.91
GameBoy,Kirby's Block Ball,$25.24,$150.57
GameBoy,Original Gameboy Red,$78.13,$150.00
GameBoy,Revenge of the Gator,$12.50,$51.16
GameBoy,Shaq Fu,$158.26,$220.00
GameBoy,WWF Raw,$5.72,$65.19
GameBoy,Wave Race,$7.62,$55.12
GameBoy,Darkwing Duck,$48.81,$239.48
GameBoy,Daedalian Opus,$7.65,$20.50
GameBoy,Tamagotchi,$12.97,$40.00
GameBoy,The Simpsons Bart vs the Juggernauts,$18.65,$95.00
GameBoy,Gameboy Camera [Gold],$849.81,"$3,228.52"
GameBoy,Mario's Picross,$49.99,$112.08
GameBoy,Batman: Return of the Joker,$34.03,$227.57
GameBoy,Fortress of Fear,$12.50,$76.55
GameBoy,Personal Organizer & Phone Book,$15.40,$65.00
GameBoy,Game Boy Pocket [Extreme Green],$108.70,$657.48
GameBoy,Gameboy Original Yellow,$90.50,$203.43
GameBoy,Mighty Morphin Power Rangers,$17.34,$90.28
GameBoy,Rolan's Curse 2,$183.57,$999.99
GameBoy,Atomic Punk,$29.99,$269.13
GameBoy,Fist of the North Star,$9.39,$102.98
GameBoy,Tiny Toon Adventures Babs' Big Break,$12.35,$69.95
GameBoy,Ice Blue Game Boy Pocket,$99.99,$375.00
GameBoy,F1 Race [Four Player Adapter Bundle],$17.75,$37.48
GameBoy,Harvest Moon,$30.70,$141.98
GameBoy,Kwirk,$10.00,$47.11
GameBoy,Mickey's Dangerous Chase,$9.72,$34.32
GameBoy,Nemesis,$13.85,$89.99
GameBoy,Ninja Taro,$75.99,$842.50
GameBoy,Beetlejuice,$78.11,$249.99
GameBoy,Mr. Chin's Gourmet Paradise,$13.99,$131.65
GameBoy,Sumo Fighter,$229.95,"$2,163.94"
GameBoy,Tetris Attack,$10.13,$41.06
GameBoy,F1 Pole Position,$189.99,"$1,057.42"
GameBoy,King of Fighters 95,$24.56,$119.99
GameBoy,Spiderman 3,$19.99,$301.16
GameBoy,Bill and Ted's Excellent Adventure,$18.89,$149.99
GameBoy,Gradius Interstellar Assault,$40.00,$299.99
GameBoy,Home Alone,$10.00,$59.99
GameBoy,Star Wars The Empire Strikes Back,$17.69,$73.84
GameBoy,Captain America and the Avengers,$103.75,$758.15
GameBoy,Gameboy [Black Play It Loud],$99.99,$300.00
GameBoy,Mystical Ninja Starring Goemon,$60.00,$420.05
GameBoy,"Pokemon Special Pikachu Edition: Red, Yellow, Blue [Perfect Guide]",$50.00,$65.05
GameBoy,Snow Brothers,$76.07,$333.52
GameBoy,Star Wars [Player's Choice],$11.47,$56.47
GameBoy,Gameboy Rechargeable Battery Pack/AC Adapter,$16.37,$37.11
GameBoy,Bubble Bobble Part 2,$30.99,$299.99
GameBoy,Taz-Mania,$9.99,$60.36
GameBoy,Light Boy,$27.71,$62.50
GameBoy,Burai Fighter Deluxe,$23.24,$199.99
GameBoy,Double Dragon II The Revenge,$18.97,$140.04
GameBoy,Duck Tales 2 [Player's Choice],$50.86,$160.00
GameBoy,Motocross Maniacs,$9.97,$40.06
GameBoy,Legend of the River King,$68.94,$173.08
GameBoy,Boomer's Adventure in Asmik World,$8.64,$53.88
GameBoy,Gremlins 2,$16.87,$72.49
GameBoy,Small Soldiers,$13.87,$71.44
GameBoy,The Smurfs,$12.97,$74.99
GameBoy,Zen Intergalactic Ninja,$50.87,$444.00
GameBoy,Battle Bull,$19.96,$72.27
GameBoy,Super Star Wars Return of the Jedi,$13.21,$89.99
GameBoy,Tiny Toon Adventures 2 Montana's Movie Madness,$13.18,$89.94
GameBoy,Alien vs Predator,$24.81,$225.88
GameBoy,Radar Mission,$10.18,$45.29
GameBoy,Stop that Roach,$40.00,$438.60
GameBoy,Aladdin,$11.79,$125.22
GameBoy,Bionic Commando,$57.95,$316.02
GameBoy,Wario Land Super Mario Land 3 [Not For Resale],$59.99,
GameBoy,Analogue Pocket [Indigo Anodized],$699.00,$825.00
GameBoy,Looney Tunes,$9.98,$32.39
GameBoy,Tecmo Bowl,$15.99,$34.57
GameBoy,Terminator 2 Judgment Day,$10.99,$65.25
GameBoy,Arcade Classic 3: Galaga and Galaxian,$19.72,$36.52
GameBoy,Home Alone 2 Lost In New York,$10.00,$37.50
GameBoy,Mickey Mouse Magic Wands,$14.46,$49.99
GameBoy,Darkman,$166.38,$405.00
GameBoy,Flintstones the Movie,$12.49,$50.56
GameBoy,Frogger,$10.00,$34.99
GameBoy,Rescue of Princess Blobette,$11.53,$93.48
GameBoy,Donkey Kong Land 2 [Player's Choice],$16.06,$64.23
GameBoy,Blaster Master Boy,$86.89,$669.85
GameBoy,Battleship,$8.07,$25.97
GameBoy,Gameboy [Green Play It Loud],$79.99,$300.00
GameBoy,Skate or Die Bad n Rad,$9.99,$87.32
GameBoy,Superman,$17.47,$120.98
GameBoy,Who Framed Roger Rabbit,$22.51,$162.52
GameBoy,4 Player Adapter,$7.60,$30.20
GameBoy,Real Ghostbusters,$41.88,$355.22
GameBoy,Flintstones King Rock Treasure Island,$51.78,$450.00
GameBoy,Maru's Mission,$17.49,$137.06
GameBoy,Nobunaga's Ambition,$22.33,$56.70
GameBoy,Pokemon Azul,$77.76,$295.47
GameBoy,Robocop vs The Terminator,$40.00,$292.17
GameBoy,Wheel of Fortune,$7.20,$19.99
GameBoy,NFL Football,$6.00,$26.14
GameBoy,Game Boy Storage Case,$35.00,$133.00
GameBoy,Extra Bases,$16.37,$52.19
GameBoy,Double Dragon III The Arcade Game,$19.12,$128.50
GameBoy,Battletoads in Ragnarok's World,$29.99,$149.94
GameBoy,Ghostbusters II,$39.61,$199.35
GameBoy,Godzilla,$18.33,$143.08
GameBoy,Quarth,$10.47,$37.66
GameBoy,Shanghai,$8.47,$28.24
GameBoy,The Rugrats Movie,$7.00,$40.57
GameBoy,Gameboy Camera [Red],$35.00,$70.00
GameBoy,Mysterium,$15.75,$75.71
GameBoy,Popeye 2,$27.81,$264.26
GameBoy,Tail Gator,$89.99,$558.66
GameBoy,Battle Arena Toshinden,$15.84,$147.49
GameBoy,Bugs Bunny Crazy Castle,$12.00,$39.99
GameBoy,Adventure Island II,$23.59,$172.61
GameBoy,Cool World,$99.99,$366.97
GameBoy,Burgertime Deluxe,$29.99,$67.99
GameBoy,Itchy and Scratchy Miniature Golf Madness,$62.96,$495.01
GameBoy,Oddworld Adventures,$11.42,$45.22
GameBoy,Pipe Dream,$9.99,$12.95
GameBoy,Speedy Gonzales,$17.04,$76.47
GameBoy,T2 The Arcade Game,$14.04,$48.91
GameBoy,The Fidgetts,$14.97,$189.95
GameBoy,Analogue Pocket [White],$335.17,
GameBoy,Alien 3,$28.18,$93.20
GameBoy,WWF Superstars,$11.52,$50.35
GameBoy,Bonk's Revenge,$61.10,$350.00
GameBoy,Battletoads & Double Dragon,$66.70,"$1,021.33"
GameBoy,Wayne's World,$110.22,$364.37
GameBoy,Dr. Franken,$15.01,$80.80
GameBoy,Lost World Jurassic Park,$18.24,$167.50
GameBoy,Metroid 2 Return of Samus [Player's Choice],$40.00,$189.95
GameBoy,Ninja Boy,$23.02,$213.80
GameBoy,Rolan's Curse,$34.23,$395.00
GameBoy,Analogue Pocket [Glow in the Dark],$387.00,$500.00
GameBoy,Bubsy II,$26.94,$398.71
GameBoy,Attack of the Killer Tomatoes,$24.69,$272.89
GameBoy,Tetris Blast,$10.38,$28.98
GameBoy,Cosmo Tank,$13.80,$80.00
GameBoy,Little Mermaid,$10.14,$53.19
GameBoy,Gameboy Camera [Yellow],$50.45,$52.00
GameBoy,Casper,$10.00,$68.41
GameBoy,In Your Face,$5.01,$32.47
GameBoy,Incredible Crash Dummies,$7.77,$52.61
GameBoy,Ishido: The Way of Stones,$13.22,$38.41
GameBoy,NIV Bible and Lost Levels of Joshua,$213.74,$754.19
GameBoy,Skate or Die: Tour de Thrash,$15.50,$164.47
GameBoy,Worms [Limited Run],$55.00,
GameBoy,Arcade Classic 2: Centipede and Millipede,$7.08,$26.78
GameBoy,Game Boy Camera [Blue],$53.02,$106.44
GameBoy,Daffy Duck,$26.21,$237.83
GameBoy,Donkey Kong Land [Not for Resale],$154.73,
GameBoy,Jurassic Park Part 2: The Chaos Continues,$27.49,$137.79
GameBoy,Kingdom Crusade,$21.67,$144.75
GameBoy,Mega Man: Dr Wily's Revenge [Player's Choice],$17.50,$150.00
GameBoy,Miner 2049er,$22.28,$268.91
GameBoy,Spiderman and the X-Men: Arcade's Revenge,$22.23,$225.00
GameBoy,Star Trek the Next Generation,$11.23,$39.75
GameBoy,Super Mario Land [Player's Choice],$16.66,$55.72
GameBoy,The Humans,$22.40,$99.80
GameBoy,Yogi Bear's Gold Rush,$18.99,$103.99
GameBoy,Centipede,$9.00,$26.49
GameBoy,Asteroids,$11.78,$66.01
GameBoy,Beavis and Butthead,$49.99,$166.22
GameBoy,Dick Tracy,$110.00,$304.85
GameBoy,Blades of Steel,$10.60,$40.25
GameBoy,Fish Dude,$78.00,$437.50
GameBoy,WWF King of the Ring,$10.58,$66.62
GameBoy,Castelian,$30.16,$112.36
GameBoy,Elevator Action,$26.99,$90.09
GameBoy,Gameboy Camera [Green],$41.29,$84.99
GameBoy,Gauntlet II,$41.50,$130.00
GameBoy,Getaway: High Speed II,$18.50,$149.99
GameBoy,InfoGenius: Spell Checker and Calculator,$11.99,$24.99
GameBoy,Jeopardy,$8.73,$24.73
GameBoy,Jimmy Connors Tennis,$80.41,$405.11
GameBoy,Joshua: The Battle of Jericho,$29.99,$119.99
GameBoy,Lemmings,$16.43,$67.90
GameBoy,Malibu Beach Volleyball,$6.78,$32.41
GameBoy,Mortal Kombat 3,$18.48,$77.64
GameBoy,Spanky's Quest,$22.56,$134.86
GameBoy,Trip World [Limited Run],$69.94,$70.00
GameBoy,Arcade Classic 4: Defender and Joust,$9.48,$28.99
GameBoy,Aerostar,$51.33,$549.99
GameBoy,Bubble Bobble,$25.42,$142.71
GameBoy,Joe and Mac,$34.95,$339.50
GameBoy,Super Mario Land 2 [Player's Choice],$19.10,$71.82
GameBoy,Nintendo World Cup,$8.77,$33.48
GameBoy,Amazing Penguin,$19.64,$71.65
GameBoy,Boxxle II,$39.99,$240.46
GameBoy,Analogue Pocket Fast Charging USB-C Power Supply,,
GameBoy,Cyraid,$25.21,$80.00
GameBoy,Donkey Kong Land [Player's Choice],$14.87,$51.50
GameBoy,Go Go Tank,$11.34,$79.96
GameBoy,Mickey's Ultimate Challenge,$15.65,$336.52
GameBoy,Mighty Morphin Power Rangers: The Movie,$22.89,$120.28
GameBoy,Super Scrabble,$8.47,$18.99
GameBoy,Swamp Thing,$50.00,$299.99
GameBoy,The Jungle Book,$9.95,$49.99
GameBoy,The Ren & Stimpy Show Veediots,$7.10,$79.99
GameBoy,Urban Strike,$12.99,$102.51
GameBoy,Wario Land Super Mario Land 3 [Player's Choice],$25.15,$95.61
GameBoy,Zool Ninja of the Nth Dimension,$48.01,$850.00
GameBoy,Booster Boy,$82.50,$313.50
GameBoy,Gameboy Cleaning Kit,$4.47,$17.76
GameBoy,Batman Forever,$12.64,$78.58
GameBoy,Addams Family,$15.65,$25.65
GameBoy,Tetris Plus,$12.00,$24.12
GameBoy,Blues Brothers,$31.57,$209.93
GameBoy,Bionic Battler,$25.16,$68.41
GameBoy,Gameboy Light [Yellow],$386.20,$555.02
GameBoy,Chessmaster,$10.67,$36.93
GameBoy,Frommer's Travel Guide,$13.98,$39.98
GameBoy,Hercules,$10.81,$123.91
GameBoy,Kung Fu Master,$30.07,$51.76
GameBoy,Nail n Scale,$24.97,$139.40
GameBoy,Navy Seals,$13.62,$99.53
GameBoy,Ninja Boy 2,$61.00,$439.76
GameBoy,Q Billion,$7.12,$20.36
GameBoy,R-Type,$20.56,$120.00
GameBoy,Spot the Cool Adventure,$10.11,$161.26
GameBoy,The Jetsons Robot Panic,$102.32,$499.91
GameBoy,Tom and Jerry,$12.30,$59.13
GameBoy,Top Gun Guts to Glory,$10.99,$113.06
GameBoy,Trax,$56.10,$330.13
GameBoy,Paperboy 2,$11.96,$24.68
GameBoy,Game Boy Game Link Cable,$7.87,$44.97
GameBoy,Battle Unit Zeoth,$19.48,$199.00
GameBoy,Metal Masters,$57.47,"$1,355.18"
GameBoy,Black Bass Lure Fishing,$4.81,$39.99
GameBoy,Hatris,$19.99,$85.09
GameBoy,Game Boy Shoulder Strap Case,$9.99,$37.96
